dataset,arm,seed,gate_index,model,auc_roc,accuracy,overall_fairness_passed,attribute,disparate_impact,demographic_parity_difference,equal_opportunity_difference,protected,excluded_groups,violation,decision,decision_reason
adult,B,128,0,XGBoost,0.9295,0.8775,False,sex,0.309,0.184,0.1228,True,,True,approve,arm approves at the first gate
adult,B,128,0,XGBoost,0.9295,0.8775,False,race,0.3179,0.1498,0.3873,True,,True,approve,arm approves at the first gate
adult,B,128,0,XGBoost,0.9295,0.8775,False,marital-status,0.0486,0.3918,0.3228,False,Married-AF-spouse=8,True,approve,arm approves at the first gate
adult,B,128,0,XGBoost,0.9295,0.8775,False,occupation,0.0203,0.4815,0.6058,False,Armed-Forces=3,True,approve,arm approves at the first gate
adult,C,42,0,XGBoost,0.9273,0.8734,False,age,0.0192,0.2449,0.1983,True,,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,42,0,XGBoost,0.9273,0.8734,False,sex,0.3306,0.1739,0.0628,True,,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,42,0,XGBoost,0.9273,0.8734,False,race,0.3193,0.1554,0.2385,True,,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,42,0,XGBoost,0.9273,0.8734,False,marital-status,0.0435,0.3761,0.4447,False,Married-AF-spouse=7,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,42,0,XGBoost,0.9273,0.8734,False,occupation,0.0,0.4987,0.6081,False,Armed-Forces=2,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,42,1,RandomForest,0.9066,0.8577,False,age,0.022,0.2404,0.0905,True,,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,42,1,RandomForest,0.9066,0.8577,False,sex,0.3224,0.174,0.079,True,,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,42,1,RandomForest,0.9066,0.8577,False,race,0.2284,0.1649,0.2269,True,,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,42,1,RandomForest,0.9066,0.8577,False,marital-status,0.0431,0.3792,0.4517,False,Married-AF-spouse=7,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,42,1,RandomForest,0.9066,0.8577,False,occupation,0.0252,0.4371,0.5668,False,Armed-Forces=2,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,42,2,LogisticRegression,0.8772,0.8258,False,age,0.0387,0.2385,0.2129,True,,True,approve,violation remains but reroutes are exhausted
adult,C,42,2,LogisticRegression,0.8772,0.8258,False,sex,0.3241,0.1408,0.0418,True,,True,approve,violation remains but reroutes are exhausted
adult,C,42,2,LogisticRegression,0.8772,0.8258,False,race,0.2447,0.1506,0.3,True,,True,approve,violation remains but reroutes are exhausted
adult,C,42,2,LogisticRegression,0.8772,0.8258,False,marital-status,0.0316,0.3155,0.3699,False,Married-AF-spouse=7,True,approve,violation remains but reroutes are exhausted
adult,C,42,2,LogisticRegression,0.8772,0.8258,False,occupation,0.0,0.4181,0.5476,False,Armed-Forces=2,True,approve,violation remains but reroutes are exhausted
adult,C,7,0,XGBoost,0.9284,0.8733,False,age,0.0189,0.2442,0.3162,True,,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,7,0,XGBoost,0.9284,0.8733,False,sex,0.3209,0.1752,0.0823,True,,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,7,0,XGBoost,0.9284,0.8733,False,race,0.2352,0.1785,0.3637,True,,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,7,0,XGBoost,0.9284,0.8733,False,marital-status,0.0608,0.3709,0.2633,False,Married-AF-spouse=6,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,7,0,XGBoost,0.9284,0.8733,False,occupation,0.0,0.5067,0.6108,False,Armed-Forces=5,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,7,1,RandomForest,0.904,0.8568,False,age,0.0145,0.2444,0.4111,True,,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,7,1,RandomForest,0.904,0.8568,False,sex,0.2884,0.1841,0.1104,True,,True,reject_model_or_fairness,fairness violation with reroutes remaining
